,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
geranyl acetate biosynthesis,"('ethyl acetate biosynthetic process', 0.7419354838709677)","('galactarate biosynthetic process', 0.7)","('galactarate biosynthetic process', 0.7)","('fraxetin biosynthesis', 0.6938775510204082)","('acetate biosynthetic process', 0.68)"
geranyl &beta;-primeveroside biosynthesis,"('beta-glucan biosynthetic process', 0.68)","('beta-glucan biosynthetic process', 0.68)","('geraniol biosynthetic process', 0.65)","('L-proline betaine biosynthetic process', 0.65)","('geraniol biosynthetic process', 0.65)"
geranyl diphosphate biosynthesis,"('geranyl diphosphate biosynthetic process', 0.8611111111111112)","('geranyl diphosphate biosynthetic process', 0.8611111111111112)","('geranyl diphosphate biosynthetic process', 0.8611111111111112)","('geranylgeranyl diphosphate biosynthetic process', 0.7848101265822784)","('geranylgeranyl diphosphate biosynthetic process', 0.7848101265822784)"
geranylgeranyl diphosphate biosynthesis,"('geranylgeranyl diphosphate biosynthetic process', 0.8837209302325582)","('geranylgeranyl diphosphate biosynthetic process', 0.8837209302325582)","('geranylgeranyl diphosphate biosynthetic process', 0.8837209302325582)","('geranylgeranyl diphosphate metabolic process', 0.7951807228915663)","('geranylgeranyl diphosphate catabolic process', 0.7951807228915663)"
germacrene biosynthesis,"('fraxetin biosynthesis', 0.7727272727272727)","('sideretin biosynthesis', 0.76)","('bicyclogermacrene biosynthetic process', 0.7213114754098361)","('bicyclogermacrene biosynthetic process', 0.7213114754098361)","('translesion synthesis', 0.6818181818181818)"
gibberellin A<sub>12</sub> biosynthesis,"('gibberellin 12 biosynthetic process', 0.78)","('gibberellin 12 biosynthetic process', 0.78)","('gibberellin 12 biosynthetic process', 0.78)","('gibberellin biosynthetic process', 0.72)","('gibberellin biosynthetic process', 0.72)"
"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)","('regulation of gibberellin biosynthetic process', 0.62)","('regulation of gibberellin biosynthetic process', 0.62)","('regulation of gibberellin biosynthetic process', 0.62)","('regulation of gibberellin biosynthetic process', 0.62)","('regulation of gibberellin biosynthetic process', 0.62)"
gibberellin biosynthesis II (early C-3 hydroxylation),"('regulation of gibberellin biosynthetic process', 0.66)","('regulation of gibberellin biosynthetic process', 0.66)","('regulation of gibberellin biosynthetic process', 0.66)","('regulation of gibberellin biosynthetic process', 0.66)","('regulation of gibberellin biosynthetic process', 0.66)"
gibberellin biosynthesis III (early C-13 hydroxylation),"('regulation of gibberellin biosynthetic process', 0.65)","('regulation of gibberellin biosynthetic process', 0.65)","('regulation of gibberellin biosynthetic process', 0.65)","('regulation of gibberellin biosynthetic process', 0.65)","('regulation of gibberellin biosynthetic process', 0.65)"
gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>),"('gibberellin biosynthetic process', 0.5617977528089888)","('gibberellin biosynthetic process', 0.5617977528089888)","('gibberellin biosynthetic process', 0.5617977528089888)","('gibberellin 12 biosynthetic process', 0.5434782608695652)","('gibberellin 12 biosynthetic process', 0.5434782608695652)"
gibberellin biosynthesis V,"('gibberellin biosynthetic process', 0.7931034482758621)","('gibberellin biosynthetic process', 0.7931034482758621)","('gibberellin biosynthetic process', 0.7931034482758621)","('sideretin biosynthesis', 0.7916666666666666)","('gibberellin 12 biosynthetic process', 0.7540983606557377)"
gibberellin inactivation I (2&beta;-hydroxylation),"('peptidyl-arginine hydroxylation', 0.56)","('benzoate catabolic process via hydroxylation', 0.53)","('peptidyl-histidine hydroxylation', 0.53)","('peptidyl-histidine hydroxylation', 0.53)","('regulation of gibberellin biosynthetic process', 0.52)"
gibberellin inactivation II (methylation),"('translation reinitiation', 0.63)","('histone arginine methylation', 0.63)","('histone arginine methylation', 0.63)","('histone glutamine methylation', 0.62)","('histone glutamine methylation', 0.62)"
gibberellin inactivation III (epoxidation),"('inactivation of recombination (HML)', 0.5974025974025974)","('activation of recombination (HML)', 0.56)","('negative regulation of gibberellin biosynthetic process', 0.55)","('negative regulation of gibberellin biosynthetic process', 0.55)","('negative regulation of gibberellin biosynthetic process', 0.55)"
ginkgotoxin biosynthesis,"('gliotoxin biosynthetic process', 0.7407407407407407)","('gliotoxin biosynthetic process', 0.7407407407407407)","('gliotoxin biosynthetic process', 0.7407407407407407)","('gliotoxin biosynthetic process', 0.7407407407407407)","('gliotoxin biosynthetic process', 0.7407407407407407)"
ginsenoside degradation I,"('guanine deglycation', 0.5909090909090909)","('iodide oxidation', 0.5853658536585366)","('RNA nucleotide deletion', 0.58)","('peptide amidation', 0.5714285714285714)","('spermidine deacetylation', 0.5714285714285714)"
ginsenoside degradation II,"('guanine deglycation', 0.58)","('iodide oxidation', 0.5714285714285714)","('RNA nucleotide deletion', 0.57)","('peptide amidation', 0.56)","('RNA nucleotide insertion', 0.56)"
ginsenoside degradation III,"('guanine deglycation', 0.57)","('RNA nucleotide deletion', 0.56)","('iodide oxidation', 0.5581395348837209)","('peptide amidation', 0.55)","('RNA nucleotide insertion', 0.55)"
ginsenosides biosynthesis,"('sideretin biosynthesis', 0.723404255319149)","('rhamnolipid biosynthesis', 0.6938775510204082)","('nucleoside biosynthetic process', 0.68)","('nucleoside biosynthetic process', 0.68)","('nucleoside biosynthetic process', 0.68)"
gliotoxin biosynthesis,"('gliotoxin biosynthetic process', 0.8076923076923077)","('gliotoxin biosynthetic process', 0.8076923076923077)","('gliotoxin biosynthetic process', 0.8076923076923077)","('gliotoxin biosynthetic process', 0.8076923076923077)","('gliotoxin biosynthetic process', 0.8076923076923077)"
gliotoxin inactivation,"('zygotic genome activation', 0.6808510638297872)","('zygotic genome activation', 0.6808510638297872)","('amino acid activation', 0.6511627906976745)","('zymogen activation', 0.65)","('angiotensin maturation', 0.64)"
globo-series glycosphingolipids biosynthesis,"('glycosphingolipid biosynthetic process', 0.78)","('glycosphingolipid biosynthetic process', 0.78)","('glycosphingolipid biosynthetic process', 0.78)","('glycerophospholipid biosynthetic process', 0.69)","('glycerophospholipid biosynthetic process', 0.69)"
glucocorticoid biosynthesis,"('glucocorticoid biosynthetic process', 0.8387096774193549)","('glucocorticoid biosynthetic process', 0.8387096774193549)","('glucocorticoid metabolic process', 0.711864406779661)","('glucocorticoid catabolic process', 0.711864406779661)","('glucocorticoid catabolic process', 0.711864406779661)"
gluconeogenesis I,"('gluconeogenesis', 0.94)","('gluconeogenesis', 0.94)","('regulation of gluconeogenesis', 0.74)","('regulation of gluconeogenesis', 0.74)","('regulation of gluconeogenesis', 0.74)"
gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>),"('glucuronoside metabolic process', 0.44)","('leucoanthocyanidin metabolic process', 0.42)","('leucoanthocyanidin metabolic process', 0.42)","('leucoanthocyanidin metabolic process', 0.42)","('methanopterin-containing compound metabolic process', 0.42)"
gluconeogenesis III,"('gluconeogenesis', 0.8823529411764706)","('gluconeogenesis', 0.8823529411764706)","('regulation of gluconeogenesis', 0.71)","('regulation of gluconeogenesis', 0.71)","('regulation of gluconeogenesis', 0.71)"
glucose and glucose-1-phosphate degradation,"('glucose 1-phosphate phosphorylation', 0.6666666666666666)","('glucose 1-phosphate phosphorylation', 0.6666666666666666)","('galactose to glucose-1-phosphate metabolic process', 0.6666666666666666)","('regulation of glucose-6-phosphatase activity', 0.6206896551724138)","('glucose fermentation to lactate and acetate', 0.6)"
glucose degradation (oxidative),"('oxidative demethylation', 0.65)","('glutathione deglycation', 0.62)","('oxidative RNA demethylation', 0.61)","('oxidative RNA demethylation', 0.61)","('pyrimidine nucleobase fermentation', 0.57)"
glucosinolate activation,"('plasminogen activation', 0.74)","('glucokinase activity', 0.73)","('glucokinase activity', 0.73)","('trypsinogen activation', 0.7)","('zygotic genome activation', 0.6938775510204082)"
glucosinolate biosynthesis from dihomomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.8823529411764706)","('glucosinolate biosynthetic process from homomethionine', 0.8823529411764706)","('glucosinolate biosynthetic process from phenylalanine', 0.7326732673267327)","('glucosinolate biosynthetic process from phenylalanine', 0.7326732673267327)","('homomethionine biosynthetic process', 0.72)"
glucosinolate biosynthesis from hexahomomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.8653846153846154)","('glucosinolate biosynthetic process from homomethionine', 0.8653846153846154)","('glucosinolate biosynthetic process from phenylalanine', 0.7378640776699029)","('glucosinolate biosynthetic process from phenylalanine', 0.7378640776699029)","('glucosinolate biosynthetic process', 0.6666666666666666)"
glucosinolate biosynthesis from homomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.9)","('glucosinolate biosynthetic process from homomethionine', 0.9)","('glucosinolate biosynthetic process from phenylalanine', 0.7474747474747475)","('glucosinolate biosynthetic process from phenylalanine', 0.7474747474747475)","('glucosinolate biosynthetic process', 0.7)"
glucosinolate biosynthesis from pentahomomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.8571428571428571)","('glucosinolate biosynthetic process from homomethionine', 0.8571428571428571)","('glucosinolate biosynthetic process from phenylalanine', 0.75)","('glucosinolate biosynthetic process from phenylalanine', 0.75)","('glucosinolate biosynthetic process', 0.6588235294117647)"
glucosinolate biosynthesis from phenylalanine,"('glucosinolate biosynthetic process from phenylalanine', 0.8979591836734694)","('glucosinolate biosynthetic process from phenylalanine', 0.8979591836734694)","('glucosinolate biosynthetic process from homomethionine', 0.7474747474747475)","('glucosinolate biosynthetic process from homomethionine', 0.7474747474747475)","('glucosinolate biosynthetic process', 0.7088607594936709)"
glucosinolate biosynthesis from tetrahomomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.8571428571428571)","('glucosinolate biosynthetic process from homomethionine', 0.8571428571428571)","('glucosinolate biosynthetic process from phenylalanine', 0.7115384615384616)","('glucosinolate biosynthetic process from phenylalanine', 0.7115384615384616)","('glucosinolate biosynthetic process', 0.6588235294117647)"
glucosinolate biosynthesis from trihomomethionine,"('glucosinolate biosynthetic process from homomethionine', 0.8737864077669902)","('glucosinolate biosynthetic process from homomethionine', 0.8737864077669902)","('glucosinolate biosynthetic process from phenylalanine', 0.7254901960784313)","('glucosinolate biosynthetic process from phenylalanine', 0.7254901960784313)","('glucosinolate biosynthetic process', 0.6746987951807228)"
glucosinolate biosynthesis from tryptophan,"('glucosinolate biosynthetic process from phenylalanine', 0.7368421052631579)","('glucosinolate biosynthetic process from phenylalanine', 0.7368421052631579)","('glucosinolate biosynthetic process', 0.7105263157894737)","('glucosinolate biosynthetic process', 0.7105263157894737)","('glucosinolate biosynthetic process', 0.7105263157894737)"
glucosinolate biosynthesis from tyrosine,"('glucosinolate biosynthetic process from homomethionine', 0.7659574468085106)","('glucosinolate biosynthetic process from homomethionine', 0.7659574468085106)","('glucosinolate biosynthetic process', 0.76)","('glucosinolate biosynthetic process', 0.76)","('glucosinolate biosynthetic process', 0.76)"
glucosylglycerate biosynthesis I,"('glucosylglycerol biosynthetic process', 0.7536231884057971)","('glucosylglycerol biosynthetic process', 0.7536231884057971)","('glucosylglycerol biosynthetic process', 0.7536231884057971)","('glucosylceramide biosynthetic process', 0.7246376811594203)","('glucosylceramide biosynthetic process', 0.7246376811594203)"
glucosylglycerate biosynthesis II,"('glucosylglycerol biosynthetic process', 0.7428571428571429)","('glucosylglycerol biosynthetic process', 0.7428571428571429)","('glucosylglycerol biosynthetic process', 0.7428571428571429)","('glucosylceramide biosynthetic process', 0.7142857142857143)","('glucosylceramide biosynthetic process', 0.7142857142857143)"
glucosylglycerol biosynthesis,"('glucosylglycerol biosynthetic process', 0.8484848484848485)","('glucosylglycerol biosynthetic process', 0.8484848484848485)","('glucosylglycerol biosynthetic process', 0.8484848484848485)","('acylglycerol biosynthetic process', 0.7419354838709677)","('acylglycerol biosynthetic process', 0.7419354838709677)"
glucuronoarabinoxylan degradation,"('glucuronoarabinoxylan catabolic process', 0.7222222222222222)","('glucuronoarabinoxylan catabolic process', 0.7222222222222222)","('glucuronoarabinoxylan catabolic process', 0.7222222222222222)","('glucuronoarabinoxylan metabolic process', 0.6944444444444444)","('glucuronoarabinoxylan metabolic process', 0.6944444444444444)"
glutamate removal from folates,"('glutamate metabolic process', 0.631578947368421)","('glutamate metabolic process', 0.631578947368421)","('glutamate metabolic process', 0.631578947368421)","('D-glutamate metabolic process', 0.6101694915254238)","('D-glutamate metabolic process', 0.6101694915254238)"
glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation,"('glutaminyl-tRNAGln biosynthesis via transamidation', 0.8828828828828829)","('asparaginyl-tRNAAsn biosynthesis via transamidation', 0.7857142857142857)","('glycine biosynthetic process, by transamination of glyoxylate', 0.61)","('isopeptide cross-linking via N-(L-isoglutamyl)-glycine', 0.56)","('isopeptide cross-linking via N-(L-isoglutamyl)-glycine', 0.56)"
glutarate degradation,"('glutathione deglycation', 0.73)","('guanine deglycation', 0.65)","('alternative respiration', 0.6363636363636364)","('lactate racemization', 0.6341463414634146)","('lactate oxidation', 0.631578947368421)"
glutaryl-CoA degradation,"('glutathione deglycation', 0.6382978723404256)","('glutamyl-tRNA aminoacylation', 0.6153846153846154)","('acyl deglucuronidation', 0.6086956521739131)","('target-directed miRNA degradation', 0.5964912280701754)","('target-directed miRNA degradation', 0.5964912280701754)"
glutathione amide metabolism,"('glutathione metabolic process', 0.74)","('glutathione derivative metabolic process', 0.74)","('glutathione derivative metabolic process', 0.74)","('regulation of amide metabolic process', 0.7076923076923077)","('regulation of amide metabolic process', 0.7076923076923077)"
glutathione biosynthesis,"('glutathione biosynthetic process', 0.8214285714285714)","('glutathione biosynthetic process', 0.8214285714285714)","('glutamine biosynthetic process', 0.7407407407407407)","('glutamine biosynthetic process', 0.7407407407407407)","('tRNA 4-thiouridine biosynthesis', 0.7272727272727273)"
glutathione degradation (DUG pathway),"('glutathione deglycation', 0.69)","('negative regulation of ERAD pathway', 0.6388888888888888)","('negative regulation of ERAD pathway', 0.6388888888888888)","('negative regulation of ERAD pathway', 0.6388888888888888)","('glutathione synthase activity', 0.59)"
glutathione-glutaredoxin redox reactions,"('glutathione catabolic process', 0.58)","('glutathione catabolic process', 0.58)","('histone glutamine methylation', 0.58)","('histone glutamine methylation', 0.58)","('glutathione deglycation', 0.5714285714285714)"
glutathione-mediated detoxification I,"('glutathione deglycation', 0.67)","('polythionate oxidation', 0.6101694915254238)","('glutathione derivative metabolic process', 0.6)","('glutathione derivative metabolic process', 0.6)","('regulatory ncRNA-mediated heterochromatin formation', 0.5909090909090909)"
glutathione-mediated detoxification II,"('glutathione deglycation', 0.66)","('polythionate oxidation', 0.6)","('glutathione derivative metabolic process', 0.59)","('glutathione derivative metabolic process', 0.59)","('regulatory ncRNA-mediated heterochromatin formation', 0.5842696629213483)"
glutathione-peroxide redox reactions,"('glutathione deglycation', 0.6101694915254238)","('regulation of glutathione biosynthetic process', 0.59)","('regulation of glutathione biosynthetic process', 0.59)","('regulation of glutathione biosynthetic process', 0.59)","('protein glutathionylation', 0.59)"
glutathionylspermidine biosynthesis,"('tRNA 4-thiouridine biosynthesis', 0.7272727272727273)","('regulation of spermidine biosynthetic process', 0.725)","('regulation of spermidine biosynthetic process', 0.725)","('glutathione derivative biosynthetic process', 0.6923076923076923)","('glutathione derivative biosynthetic process', 0.6923076923076923)"
glyceollin biosynthesis,"('glycerol biosynthetic process', 0.7307692307692307)","('glycerol biosynthetic process', 0.7307692307692307)","('fraxetin biosynthesis', 0.73)","('glycol biosynthetic process', 0.72)","('glycol biosynthetic process', 0.72)"
glycerol 3-phosphate to cytochrome <i>aa<sub>3</sub></i> oxidase electron transfer,"('electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity', 0.55)","('mitochondrial electron transport, cytochrome c to oxygen', 0.55)","('mitochondrial electron transport, cytochrome c to oxygen', 0.55)","('electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity', 0.54)","('transport-coupled glycolytic process through glucose-6-phosphate', 0.54)"
glycerol and glycerophosphodiester degradation,"('glycerol to glycerone phosphate metabolic process', 0.5684210526315789)","('nucleic acid phosphodiester bond hydrolysis', 0.56)","('glycerol-3-phosphate catabolic process', 0.55)","('glycerol-3-phosphate catabolic process', 0.55)","('thymic stromal lymphopoietin production', 0.5411764705882353)"
glycerol degradation I,"('glycolytic fermentation', 0.67)","('glycosylation', 0.6285714285714286)","('non-glycolytic fermentation', 0.61)","('N-glycan diversification', 0.61)","('acyl deglucuronidation', 0.5909090909090909)"
glycerol degradation II,"('glycolytic fermentation', 0.65)","('glycosylation', 0.6111111111111112)","('non-glycolytic fermentation', 0.6)","('N-glycan diversification', 0.6)","('acyl deglucuronidation', 0.5777777777777777)"
glycerol degradation III,"('glycolytic fermentation', 0.64)","('glycosylation', 0.5945945945945946)","('non-glycolytic fermentation', 0.59)","('N-glycan diversification', 0.58)","('acyl deglucuronidation', 0.5652173913043478)"
glycerol degradation to butanol,"('glycolytic fermentation to butanediol', 0.74)","('glycolytic fermentation to ethanol', 0.71)","('glycine catabolic process to creatine', 0.62)","('glycine catabolic process to creatine', 0.62)","('glycyl-tRNA aminoacylation', 0.6)"
glycerol degradation V,"('glycosylation', 0.6285714285714286)","('glycolytic fermentation', 0.6222222222222222)","('non-glycolytic fermentation', 0.61)","('N-glycan diversification', 0.61)","('acyl deglucuronidation', 0.5909090909090909)"
glycerol dibiphytanyl glycerol tetraether lipid biosynthesis,"('lipoprotein biosynthetic process via diacylglyceryl transfer', 0.58)","('diacylglycerol biosynthetic process', 0.57)","('diacylglycerol biosynthetic process', 0.57)","('glycerophospholipid biosynthetic process', 0.56)","('glycerophospholipid biosynthetic process', 0.56)"
glycerol-3-phosphate shuttle,"('glycerophosphate shuttle', 0.9230769230769231)","('glycerophosphate shuttle', 0.9230769230769231)","('glycerophosphate shuttle', 0.9230769230769231)","('glycerophosphate shuttle', 0.9230769230769231)","('glycerophosphate shuttle', 0.9230769230769231)"
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,"('electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity', 0.59)","('mitochondrial electron transport, cytochrome c to oxygen', 0.59)","('mitochondrial electron transport, cytochrome c to oxygen', 0.59)","('electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity', 0.58)","('mitochondrial electron transport, ubiquinol to cytochrome c', 0.56)"
glycerol-3-phosphate to fumarate electron transfer,"('glycerol-3-phosphate catabolic process', 0.6363636363636364)","('glycerol-3-phosphate catabolic process', 0.6363636363636364)","('glycerol-3-phosphate biosynthetic process', 0.6153846153846154)","('glycerol-3-phosphate biosynthetic process', 0.6153846153846154)","('transport-coupled glycolytic process through glucose-6-phosphate', 0.58)"
glycerol-3-phosphate to hydrogen peroxide electron transport,"('transport-coupled glycolytic process through glucose-6-phosphate', 0.6)","('transport-coupled glycolytic process through glucose-6-phosphate', 0.6)","('glycerol-3-phosphate biosynthetic process', 0.594059405940594)","('glycerol-3-phosphate biosynthetic process', 0.594059405940594)","('glycerol-3-phosphate catabolic process', 0.5918367346938775)"
glycerophosphodiester degradation,"('glycerophospholipid catabolic process', 0.6)","('glycerophospholipid catabolic process', 0.6)","('glycerophospholipid catabolic process', 0.6)","('glycerophosphate shuttle', 0.5964912280701754)","('glycerophosphate shuttle', 0.5964912280701754)"
glycine betaine biosynthesis I (Gram-negative bacteria),"('glycine betaine biosynthetic process', 0.65)","('glycine betaine biosynthetic process', 0.65)","('glycine betaine biosynthetic process from glycine', 0.63)","('glycine betaine biosynthetic process from glycine', 0.63)","('glycine betaine biosynthetic process from choline', 0.5961538461538461)"
glycine betaine biosynthesis II (Gram-positive bacteria),"('glycine betaine biosynthetic process', 0.67)","('glycine betaine biosynthetic process', 0.67)","('glycine betaine biosynthetic process from glycine', 0.64)","('glycine betaine biosynthetic process from glycine', 0.64)","('tRNA wobble base lysidine biosynthesis', 0.61)"
glycine betaine biosynthesis III (plants),"('glycine betaine biosynthetic process', 0.77)","('glycine betaine biosynthetic process', 0.77)","('glycine betaine biosynthetic process from glycine', 0.7)","('glycine betaine biosynthetic process from glycine', 0.7)","('glycine betaine biosynthetic process from choline', 0.6888888888888889)"
glycine betaine biosynthesis IV (from glycine),"('glycine betaine biosynthetic process from glycine', 0.86)","('glycine betaine biosynthetic process from glycine', 0.86)","('glycine betaine biosynthetic process from choline', 0.7789473684210526)","('glycine betaine biosynthetic process from choline', 0.7789473684210526)","('glycine betaine biosynthetic process', 0.7560975609756098)"
glycine betaine degradation I,"('glycine betaine catabolic process', 0.65)","('glycine betaine catabolic process', 0.65)","('glycine betaine metabolic process', 0.6451612903225806)","('glycine betaine biosynthetic process', 0.62)","('glycine betaine biosynthetic process', 0.62)"
glycine betaine degradation II (mammalian),"('glycine decarboxylation via glycine cleavage system', 0.57)","('glycine betaine metabolic process', 0.56)","('glycine betaine catabolic process', 0.56)","('glycine betaine catabolic process', 0.56)","('glycine betaine biosynthetic process from choline', 0.5494505494505495)"
glycine betaine degradation III,"('glycine betaine metabolic process', 0.625)","('glycine betaine catabolic process', 0.625)","('glycine betaine catabolic process', 0.625)","('glycine betaine biosynthetic process', 0.6)","('glycine betaine biosynthetic process', 0.6)"
glycine betaine degradation IV,"('glycine betaine metabolic process', 0.6349206349206349)","('glycine betaine catabolic process', 0.6349206349206349)","('glycine betaine catabolic process', 0.6349206349206349)","('glycine betaine biosynthetic process', 0.61)","('glycine betaine biosynthetic process', 0.61)"
glycine biosynthesis I,"('glycine biosynthetic process', 0.76)","('glycine biosynthetic process', 0.76)","('fraxetin biosynthesis', 0.7)","('rhamnolipid biosynthesis', 0.7)","('lysine biosynthetic process', 0.6938775510204082)"
glycine biosynthesis II,"('glycine biosynthetic process', 0.75)","('glycine biosynthetic process', 0.75)","('fraxetin biosynthesis', 0.6818181818181818)","('rhamnolipid biosynthesis', 0.68)","('glycoside biosynthetic process', 0.68)"
glycine biosynthesis III,"('glycine biosynthetic process', 0.7307692307692307)","('glycine biosynthetic process', 0.7307692307692307)","('fraxetin biosynthesis', 0.67)","('rhamnolipid biosynthesis', 0.67)","('glycoside biosynthetic process', 0.67)"
glycine biosynthesis IV,"('glycine biosynthetic process', 0.75)","('glycine biosynthetic process', 0.75)","('fraxetin biosynthesis', 0.6818181818181818)","('rhamnolipid biosynthesis', 0.68)","('glycoside biosynthetic process', 0.68)"
glycine cleavage,"('proline salvage', 0.6451612903225806)","('guanine salvage', 0.6451612903225806)","('proline salvage', 0.6451612903225806)","('guanine salvage', 0.6451612903225806)","('cytidine salvage', 0.625)"
glycine degradation,"('guanine deglycation', 0.6842105263157895)","('glutathione deglycation', 0.67)","('polyamine deacetylation', 0.67)","('polyamine deacetylation', 0.67)","('cytidine deamination', 0.6666666666666666)"
glycine degradation (reductive Stickland reaction),"('negative regulation of replicative senescence', 0.56)","('negative regulation of replicative senescence', 0.56)","('negative regulation of replicative senescence', 0.56)","('negative regulation of oxytocin production', 0.56)","('negative regulation of oxytocin production', 0.56)"
glycine lipid biosynthesis,"('rhamnolipid biosynthesis', 0.76)","('glycerolipid biosynthetic process', 0.7457627118644068)","('glycerolipid biosynthetic process', 0.7457627118644068)","('glycerolipid biosynthetic process', 0.7457627118644068)","('glycine biosynthetic process', 0.74)"
glycogen biosynthesis I (from ADP-D-Glucose),"('glycogen biosynthetic process', 0.6575342465753424)","('glycogen biosynthetic process', 0.6575342465753424)","('glycine betaine biosynthetic process from glycine', 0.64)","('glycine betaine biosynthetic process from glycine', 0.64)","('dATP biosynthetic process from ADP', 0.63)"
glycogen biosynthesis II (from UDP-D-Glucose),"('glycogen biosynthetic process', 0.6486486486486487)","('glycogen biosynthetic process', 0.6486486486486487)","('UDP-galactose biosynthetic process', 0.62)","('UDP-galactose biosynthetic process', 0.62)","('UDP-glucuronate biosynthetic process', 0.61)"
glycogen biosynthesis III (from &alpha;-maltose 1-phosphate),"('glycerol biosynthetic process from pyruvate', 0.61)","('glycerol biosynthetic process from pyruvate', 0.61)","('glycerol biosynthetic process from pyruvate', 0.61)","('GDP-mannose biosynthetic process from fructose-6-phosphate', 0.6)","('GDP-mannose biosynthetic process from fructose-6-phosphate', 0.6)"
glycogen degradation I,"('N-glycan diversification', 0.65)","('glycolytic fermentation', 0.62)","('zymogen activation', 0.6)","('protein deacylation', 0.59)","('protein deamination', 0.59)"
glycogen degradation II,"('N-glycan diversification', 0.64)","('glycolytic fermentation', 0.61)","('zymogen activation', 0.59)","('protein deacylation', 0.5714285714285714)","('protein deamination', 0.5714285714285714)"
glycogen degradation III (via anhydrofructose),"('hydrogen generation via biophotolysis', 0.57)","('hydrogen generation via nitrogenase', 0.5679012345679012)","('toluene oxidation via 2-hydroxytoluene', 0.56)","('toluene oxidation via 3-hydroxytoluene', 0.56)","('toluene oxidation via 4-hydroxytoluene', 0.56)"
glycolate and glyoxylate degradation I,"('glyoxalase (glycolic acid-forming) activity', 0.61)","('glyoxalase (glycolic acid-forming) activity', 0.61)","('glyoxylate cycle', 0.56)","('regulation of glycolytic fermentation to ethanol', 0.56)","('glyoxylate cycle', 0.56)"
glycolate and glyoxylate degradation II,"('glyoxalase (glycolic acid-forming) activity', 0.6)","('glyoxalase (glycolic acid-forming) activity', 0.6)","('glycine decarboxylation via glycine cleavage system', 0.56)","('glyoxylate cycle', 0.55)","('regulation of glycolytic fermentation to ethanol', 0.55)"
glycolate and glyoxylate degradation III,"('glyoxalase (glycolic acid-forming) activity', 0.59)","('glyoxalase (glycolic acid-forming) activity', 0.59)","('regulation of glycolytic fermentation to ethanol', 0.55)","('regulation of glycolytic fermentation to ethanol', 0.55)","('glycine decarboxylation via glycine cleavage system', 0.55)"
glycolate degradation II,"('glycolytic fermentation', 0.68)","('non-glycolytic fermentation', 0.63)","('N-glycan diversification', 0.62)","('glutathione deglycation', 0.6)","('protein deacylation', 0.6)"
glycolipid desaturation,"('glycolytic fermentation', 0.6521739130434783)","('protein denaturation', 0.6511627906976745)","('lipid oxidation', 0.631578947368421)","('lipid hydroxylation', 0.62)","('peptidyl-lysine deacetylation', 0.62)"
glycolysis I (from glucose 6-phosphate),"('glycolytic process through glucose-6-phosphate', 0.7294117647058823)","('glycolytic process through glucose-1-phosphate', 0.7058823529411765)","('glycolytic process from galactose', 0.69)","('glycolytic process from galactose', 0.69)","('glycolytic process through fructose-6-phosphate', 0.6744186046511628)"
glycolysis II (from fructose 6-phosphate),"('glycolytic process through fructose-6-phosphate', 0.7272727272727273)","('glycolytic process through fructose-1-phosphate', 0.7045454545454546)","('glycolytic process through fructose-1-phosphate', 0.7045454545454546)","('glycolytic process from mannose through fructose-6-phosphate', 0.69)","('glycolytic process from mannose through fructose-6-phosphate', 0.69)"
glycolysis III (from glucose),"('glycolytic process from galactose', 0.7)","('glycolytic process from galactose', 0.7)","('glycolytic process from sucrose', 0.6666666666666666)","('glycolytic process from sucrose', 0.6666666666666666)","('glycolytic process from glycerol', 0.64)"
glycolysis IV,"('sulphoglycolysis', 0.69)","('sulphoglycolysis', 0.69)","('canonical glycolysis', 0.61)","('canonical glycolysis', 0.61)","('canonical glycolysis', 0.61)"
glycolysis V (Pyrococcus),"('glycolytic process', 0.68)","('glycolytic process', 0.68)","('glycolytic process', 0.68)","('glycolytic process from sucrose', 0.56)","('glycolytic process from sucrose', 0.56)"
glycolysis VI (from fructose),"('glycolytic process from galactose', 0.67)","('glycolytic process from galactose', 0.67)","('glycolytic process from sucrose', 0.6666666666666666)","('glycolytic process from sucrose', 0.6666666666666666)","('glycolytic process from glycerol', 0.58)"
glycosaminoglycan-protein linkage region biosynthesis,"('glycosaminoglycan biosynthetic process', 0.73)","('glycosaminoglycan biosynthetic process', 0.73)","('galactosaminoglycan biosynthetic process', 0.69)","('galactosaminoglycan biosynthetic process', 0.69)","('regulation of glucosinolate biosynthetic process', 0.67)"
