,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Apoptosis - multiple species,"('reactive oxygen species degradation', 0.4527687836786013)","('the visual cycle (insects)', 0.42142508487377095)","('mevalonate pathway I (eukaryotes and bacteria)', 0.4178667092576503)","('the visual cycle I (vertebrates)', 0.40993795594953003)","('indole glucosinolate activation (intact plant cell)', 0.408799369317989)"
Ferroptosis,"('(+)-camphor biosynthesis', 0.0)","('(+)-pisatin biosynthesis', 0.0)","('(+)-secoisolariciresinol diglucoside biosynthesis', 0.0)","(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.0)","('(-)-camphor biosynthesis', 0.0)"
Necroptosis,"('superpathway of methylglyoxal degradation', 0.38398816904589367)","('superpathway of dimethylsulfoniopropanoate degradation', 0.37598778483334894)","('superpathway of taurine degradation', 0.36715290443441895)","('Ac/N-end rule pathway', 0.3670001542187317)","('mycobacterial sulfolipid biosynthesis', 0.3669469858963152)"
p53 signaling pathway,"('Ac/N-end rule pathway', 0.7761343291269768)","('3-phosphoinositide degradation', 0.6935697324820771)","('3-phosphoinositide biosynthesis', 0.6714275062274121)","('backdoor pathway of androgen biosynthesis', 0.6656316933878179)","('phosphatidate metabolism, as a signaling molecule', 0.6619989394118405)"
Cellular senescence,"('peptido-conjugates in tissue regeneration biosynthesis', 0.4163186720197796)","('glucosinolate activation', 0.40168423742148723)","('chlorophyll cycle', 0.39982058598326126)","('cytokinins degradation', 0.39862474339172227)","('indole glucosinolate activation (intact plant cell)', 0.3972380487013671)"
Focal adhesion,"('hyaluronan degradation', 0.34792885160897147)","('phosphatidate metabolism, as a signaling molecule', 0.3249697166810532)","('cell-surface glycoconjugate-linked phosphocholine biosynthesis', 0.2802163550518671)","('cell-surface glycoconjugate-linked phosphonate biosynthesis', 0.27228139867965123)","('heparan sulfate degradation', 0.2716459672806042)"
Adherens junction,"('periplasmic disulfide bond formation', 0.24039529693724582)","('protein Pupylation and dePupylation', 0.2331500275452695)","('biotin-carboxyl carrier protein assembly', 0.21745082510804845)","('mRNA capping II', 0.21526571074915876)","('mRNA capping I', 0.21205608975070017)"
Tight junction,"('periplasmic disulfide bond formation', 0.24039529693724582)","('protein Pupylation and dePupylation', 0.2331500275452695)","('biotin-carboxyl carrier protein assembly', 0.21745082510804845)","('mRNA capping II', 0.21526571074915876)","('mRNA capping I', 0.21205608975070017)"
Gap junction,"('protein Pupylation and dePupylation', 0.22598160747059232)","('periplasmic disulfide bond formation', 0.20442790603519942)","('mRNA capping II', 0.18990208597414357)","('NADPH repair (eukaryotes)', 0.1816611331488538)","('mRNA capping I', 0.1740868541578075)"
Signaling pathways regulating pluripotency of stem cells,"('phosphatidate metabolism, as a signaling molecule', 0.5359482250385034)","('Ac/N-end rule pathway', 0.5019004066424707)","('backdoor pathway of androgen biosynthesis', 0.49173570082472)","('3-phosphoinositide biosynthesis', 0.4820714066156764)","('peptido-conjugates in tissue regeneration biosynthesis', 0.4753139127649226)"
Quorum sensing,"('autoinducer CAI-1 biosynthesis', 0.6272408800164375)","('autoinducer AI-2 degradation', 0.613718310864261)","('autoinducer AI-1 biosynthesis', 0.6035124067541077)","('autoinducer AI-2 biosynthesis I', 0.5918885148850185)","('paerucumarin biosynthesis', 0.5688219413272868)"
Biofilm formation - Vibrio cholerae,"('Kdo-lipid A biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)', 0.6453593575596449)","('chitin degradation II (Vibrio)', 0.5805546521973625)","('<i>Escherichia coli</i> serotype O:149/<i>Shigella boydii</i> serotype O1 O antigen biosynthesis', 0.5174838963632431)","('<i>Escherichia coli</i> serotype O:183/<i>Shigella boydii</i> serotype O:10 O antigen biosynthesis', 0.5130956170663848)","('lipid IV<sub>A</sub> biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)', 0.5106019366027827)"
Biofilm formation - Pseudomonas aeruginos,"('chitin degradation III (Serratia)', 0.569087603079199)","('rhabduscin biosynthesis', 0.5496200908234564)","('peptidoglycan biosynthesis II (staphylococci)', 0.5461098639574657)","('acetan biosynthesis', 0.5098219622483997)","('succinoglycan biosynthesis', 0.5098219622483997)"
Biofilm formation - Escherichia coli,"('thiamine diphosphate biosynthesis I (E. coli)', 0.643520912408711)","('lipid A-core biosynthesis (<i>E. coli</i> K-12)', 0.5970509334677854)","('superpathway of fatty acid biosynthesis I (E. coli)', 0.5823490989584941)","('<i>Escherichia coli</i> serotype O:50 O antigen biosynthesis', 0.5774074202588698)","('<i>Escherichia coli</i> serotype O:8 O antigen biosynthesis', 0.5774074202588698)"
Bacterial chemotaxis,"('bacterial bioluminescence', 0.5476734906343672)","('fungal bioluminescence', 0.45518151627508907)","('glycine betaine biosynthesis I (Gram-negative bacteria)', 0.4140184108664929)","('4-chlorobenzoate degradation', 0.41020406143918536)","('autoinducer AI-2 degradation', 0.40769727807923345)"
Flagellar assembly,"('biotin-carboxyl carrier protein assembly', 0.7041307921128201)","('mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.5673169984155604)","('superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.5337991809272272)","('N-end rule pathway II (prokaryotic)', 0.5172931220842888)","('N-end rule pathway I (prokaryotic)', 0.5079373266614796)"
Motor proteins,"('protein Pupylation and dePupylation', 0.46912265999146074)","('biotin-carboxyl carrier protein assembly', 0.34885461764487496)","('protein NEDDylation', 0.3266930957926952)","('N-end rule pathway II (prokaryotic)', 0.30319462729008295)","('protein SAMPylation and SAMP-mediated thiolation', 0.3012985143202494)"
Regulation of actin cytoskeleton,"('biotin-carboxyl carrier protein assembly', 0.5133036681833343)","('ceramide and sphingolipid recycling and degradation (yeast)', 0.47999472916733465)","('superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.4697769159555014)","('mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.45100291702459616)","('protein ubiquitination', 0.44792129330055597)"
Hematopoietic cell lineage,"('peptido-conjugates in tissue regeneration biosynthesis', 0.3228617003774083)","('ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide', 0.2741974820825625)","('ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide', 0.27107531026934445)","('crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)', 0.270140648073918)","('indole glucosinolate activation (intact plant cell)', 0.2639849517766816)"
Complement and coagulation cascades,"('blood coagulation - tissue factor pathway', 0.6703392133274336)","('Ac/N-end rule pathway', 0.4371497631239862)","('L-arginine degradation VII (arginase 3 pathway)', 0.42302007872206016)","('heme degradation VII', 0.42045943196225344)","('phosphatidate metabolism, as a signaling molecule', 0.417238877483259)"
Platelet activation,"('blood coagulation - tissue factor pathway', 0.5173719150408345)","('L-arginine degradation XII', 0.43618101346287363)","('L-arginine degradation VII (arginase 3 pathway)', 0.43417992052048776)","('L-arginine degradation VIII (arginine oxidase pathway)', 0.433864493948156)","('L-arginine degradation XI', 0.4324270571606037)"
Neutrophil extracellular trap formation,"('hyaluronan degradation', 0.4847132299134584)","('superoxide radicals degradation', 0.4371617136780213)","('periplasmic disulfide bond formation', 0.42386235913439735)","('hydrogen production VI', 0.41528248459456196)","('heme degradation VII', 0.41252440479194574)"
Toll-like receptor signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6097210085472948)","('backdoor pathway of androgen biosynthesis', 0.5978713547111336)","('Ac/N-end rule pathway', 0.5786356784000765)","('cannabinoid biosynthesis', 0.5733789072080676)","('thioredoxin pathway', 0.5101702941175221)"
Toll and Imd signaling pathway,"('Ac/N-end rule pathway', 0.7028798811085188)","('phosphatidate metabolism, as a signaling molecule', 0.6287140110312931)","('backdoor pathway of androgen biosynthesis', 0.5951449543900008)","('ecdysone and 20-hydroxyecdysone biosynthesis', 0.561703919082965)","('mevalonate pathway I (eukaryotes and bacteria)', 0.5566850303615805)"
NOD-like receptor signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6451333275177523)","('Ac/N-end rule pathway', 0.6280109587841317)","('backdoor pathway of androgen biosynthesis', 0.6140875162734503)","('cannabinoid biosynthesis', 0.5594071141350174)","('thioredoxin pathway', 0.5439311516873256)"
RIG-I-like receptor signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6451333275177523)","('Ac/N-end rule pathway', 0.6280109587841317)","('backdoor pathway of androgen biosynthesis', 0.6140875162734503)","('cannabinoid biosynthesis', 0.5594071141350174)","('thioredoxin pathway', 0.5439311516873256)"
Cytosolic DNA-sensing pathway,"('phosphatidate metabolism, as a signaling molecule', 0.680301907952248)","('Ac/N-end rule pathway', 0.6677401378494602)","('3-phosphoinositide biosynthesis', 0.6668915769018011)","('backdoor pathway of androgen biosynthesis', 0.6535721019043234)","('thioredoxin pathway', 0.6396324530697806)"
C-type lectin receptor signaling pathway,"('amaranthin biosynthesis', 0.6465607650514824)","('phosphatidate metabolism, as a signaling molecule', 0.601078669842574)","('backdoor pathway of androgen biosynthesis', 0.5566571602389881)","('D-galactose degradation I (Leloir pathway)', 0.5556200085201309)","('Ac/N-end rule pathway', 0.5461761356614817)"
Natural killer cell mediated cytotoxicity,"('indole glucosinolate activation (intact plant cell)', 0.36913075699032405)","('echinocandin B degradation', 0.35933192578564493)","('DIMBOA-glucoside activation', 0.3322206282315799)","('curcumin degradation', 0.3124578224404618)","('i antigen and I antigen biosynthesis', 0.3114338620119103)"
Antigen processing and presentation,"('i antigen and I antigen biosynthesis', 0.5373836785550583)","('tRNA processing', 0.4678140021079418)","('acylceramide biosynthesis and processing', 0.41258888848775266)","('ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide', 0.3829738035846121)","('ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide', 0.38211666299803)"
T cell receptor signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6517896899906822)","('Ac/N-end rule pathway', 0.623245212017784)","('backdoor pathway of androgen biosynthesis', 0.6002107432340249)","('indole glucosinolate activation (intact plant cell)', 0.5525632840906286)","('Arg/N-end rule pathway (eukaryotic)', 0.53851901986853)"
Th1 and Th2 cell differentiation,"('indole glucosinolate activation (intact plant cell)', 0.3996223685083431)","('DIMBOA-glucoside activation', 0.35608274244678895)","('glucosinolate activation', 0.34670539823450547)","('i antigen and I antigen biosynthesis', 0.3426114975662168)","('phosphatidate metabolism, as a signaling molecule', 0.3247134540874439)"
Th17 cell differentiation,"('indole glucosinolate activation (intact plant cell)', 0.43731703017858414)","('peptido-conjugates in tissue regeneration biosynthesis', 0.400854723574163)","('DIMBOA-glucoside activation', 0.3686902060589249)","('glucosinolate activation', 0.36402727634367626)","('phosphatidate metabolism, as a signaling molecule', 0.36165743227970054)"
IL-17 signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6467619092586278)","('Ac/N-end rule pathway', 0.6455059558345374)","('backdoor pathway of androgen biosynthesis', 0.58090144915618)","('3-phosphoinositide biosynthesis', 0.5594011709081725)","('glucosinolate activation', 0.5289347991695843)"
B cell receptor signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6790639570546272)","('Ac/N-end rule pathway', 0.6415434990484726)","('backdoor pathway of androgen biosynthesis', 0.6287364562827622)","('D-galactose degradation I (Leloir pathway)', 0.5918239080949472)","('nicotine degradation II (pyrrolidine pathway)', 0.5861772290262244)"
Fc epsilon RI signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.5384796063883596)","('D-galactose degradation I (Leloir pathway)', 0.5098288905855142)","('Ac/N-end rule pathway', 0.5079100616162743)","('N-end rule pathway II (prokaryotic)', 0.4804238674746478)","('N-end rule pathway I (prokaryotic)', 0.4796391179822707)"
Fc gamma R-mediated phagocytosis,"('peptidoglycan recycling II', 0.38103874713603225)","('peptidoglycan recycling I', 0.37523644179812143)","('i antigen and I antigen biosynthesis', 0.3412222220714898)","('cell-surface glycoconjugate-linked phosphocholine biosynthesis', 0.3212668521103823)","('chitobiose degradation', 0.3192114085374198)"
Leukocyte transendothelial migration,"('hyaluronan degradation', 0.3047500478943434)","('blood coagulation - tissue factor pathway', 0.3013589069278297)","('L-arginine degradation XII', 0.2522163162660246)","('protectin biosynthesis', 0.24750806586646765)","('heparin degradation', 0.24330313560945277)"
Intestinal immune network for IgA production,"('superpathway of enterobacterial common antigen biosynthesis', 0.4751550152144751)","('enterobacterial common antigen biosynthesis', 0.45717637146903356)","('i antigen and I antigen biosynthesis', 0.44752551264617413)","('superpathway of hydrogen production', 0.41775038265844966)","('superpathway of photosynthetic hydrogen production', 0.4018631022351128)"
Chemokine signaling pathway,"('phosphatidate metabolism, as a signaling molecule', 0.6173791215290817)","('Ac/N-end rule pathway', 0.5879597036024371)","('backdoor pathway of androgen biosynthesis', 0.585069450610329)","('3-phosphoinositide biosynthesis', 0.5401031175983143)","('thioredoxin pathway', 0.5283144649874598)"
Insulin secretion,"('superpathway of steroid hormone biosynthesis', 0.49022833794302423)","('thyroid hormone metabolism I (via deiodination)', 0.48124988776056615)","('thyroid hormone biosynthesis', 0.47651281058479494)","('ketogenesis', 0.47254887336032847)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.4464499360481693)"
Insulin signaling pathway,"('Ac/N-end rule pathway', 0.7064316466435838)","('phosphatidate metabolism, as a signaling molecule', 0.6664740929518512)","('backdoor pathway of androgen biosynthesis', 0.6516943285296701)","('3-phosphoinositide biosynthesis', 0.6349989014432265)","('sphingosine and sphingosine-1-phosphate metabolism', 0.5784755400531049)"
Glucagon signaling pathway,"('Ac/N-end rule pathway', 0.7019671003186534)","('phosphatidate metabolism, as a signaling molecule', 0.6885809952324646)","('3-phosphoinositide biosynthesis', 0.6675044428043375)","('backdoor pathway of androgen biosynthesis', 0.6530207646597651)","('sphingosine and sphingosine-1-phosphate metabolism', 0.5831198445360711)"
Regulation of lipolysis in adipocytes,"('diacylglycerol and triacylglycerol biosynthesis', 0.593966841264955)","('superpathway of cholesterol biosynthesis', 0.589275635598756)","('triacylglycerol degradation', 0.5813769149909452)","('peptido-conjugates in tissue regeneration biosynthesis', 0.5716606570722591)","('monoacylglycerol metabolism (yeast)', 0.5424103190888864)"
Adipocytokine signaling pathway,"('Ac/N-end rule pathway', 0.7831936813576723)","('phosphatidate metabolism, as a signaling molecule', 0.6577405388551194)","('backdoor pathway of androgen biosynthesis', 0.6449272386349487)","('3-phosphoinositide biosynthesis', 0.6353181576054094)","('Entner-Doudoroff pathway I', 0.6024755323337474)"
PPAR signaling pathway,"('Ac/N-end rule pathway', 0.6836058118319427)","('backdoor pathway of androgen biosynthesis', 0.6563234097786901)","('phosphatidate metabolism, as a signaling molecule', 0.6532174406818657)","('3-phosphoinositide biosynthesis', 0.5926183429988124)","('cannabinoid biosynthesis', 0.5797876491714028)"
GnRH secretion,"('thyroid hormone biosynthesis', 0.6246421253032512)","('progesterone biosynthesis', 0.6170923780960365)","('superpathway of steroid hormone biosynthesis', 0.6083767965449556)","('estradiol biosynthesis II', 0.5895344794483132)","('thyroid hormone metabolism I (via deiodination)', 0.5417421412037534)"
GnRH signaling pathway,"('backdoor pathway of androgen biosynthesis', 0.7152788805699615)","('Ac/N-end rule pathway', 0.6851886771021004)","('phosphatidate metabolism, as a signaling molecule', 0.6301312051226948)","('ecdysone and 20-hydroxyecdysone biosynthesis', 0.6174050764080179)","('androgen biosynthesis', 0.6171951029218695)"
Ovarian steroidogenesis,"('thyroid hormone biosynthesis', 0.6065020825249429)","('progesterone biosynthesis', 0.5358044269715871)","('androgen biosynthesis', 0.5184260495029602)","('superpathway of steroid hormone biosynthesis', 0.49999543547013925)","('thyroid hormone metabolism I (via deiodination)', 0.4745775999595071)"
Estrogen signaling pathway,"('backdoor pathway of androgen biosynthesis', 0.7227303369170767)","('Ac/N-end rule pathway', 0.6619259873554477)","('androgen biosynthesis', 0.6595827084023639)","('glucocorticoid biosynthesis', 0.6179709264960104)","('phosphatidate metabolism, as a signaling molecule', 0.6109980075856989)"
Progesterone-mediated oocyte maturation,"('progesterone biosynthesis', 0.44050375347593623)","('superpathway of testosterone and androsterone degradation', 0.40903791528015965)","('3-hydroxypropanoate/4-hydroxybutanate cycle', 0.40351589737339744)","('S-methyl-L-methionine cycle', 0.40351589737339744)","('estradiol biosynthesis II', 0.40277022595584455)"
Prolactin signaling pathway,"('backdoor pathway of androgen biosynthesis', 0.6901512952852313)","('Ac/N-end rule pathway', 0.6628092254686851)","('superpathway of steroid hormone biosynthesis', 0.6296052874382598)","('phosphatidate metabolism, as a signaling molecule', 0.6128783343257048)","('androgen biosynthesis', 0.6114562357917415)"
Oxytocin signaling pathway,"('Ac/N-end rule pathway', 0.6889766535978309)","('backdoor pathway of androgen biosynthesis', 0.6533116795579216)","('phosphatidate metabolism, as a signaling molecule', 0.6174171910548729)","('3-phosphoinositide biosynthesis', 0.6026929997710321)","('Entner-Doudoroff pathway I', 0.5399319092964066)"
Relaxin signaling pathway,"('backdoor pathway of androgen biosynthesis', 0.7209966045848719)","('Ac/N-end rule pathway', 0.7061567072311352)","('phosphatidate metabolism, as a signaling molecule', 0.6600252980866397)","('3-phosphoinositide biosynthesis', 0.6368923032603413)","('androgen biosynthesis', 0.606140489957277)"
"Growth hormone synthesis, secretion and action","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.722930593173637)","('superpathway of steroid hormone biosynthesis', 0.7198469843214459)","('thyroid hormone biosynthesis', 0.6909829531267295)","('thyroid hormone metabolism I (via deiodination)', 0.6504830868622018)","('progesterone biosynthesis', 0.6297162720201023)"
Thyroid hormone synthesis,"('thyroid hormone biosynthesis', 0.8868339246517498)","('thyroid hormone metabolism I (via deiodination)', 0.7532294782772117)","('superpathway of steroid hormone biosynthesis', 0.7210295186613067)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.6454814336906419)","('androgen biosynthesis', 0.6323649422477019)"
Thyroid hormone signaling pathway,"('thyroid hormone biosynthesis', 0.7991608809935865)","('superpathway of steroid hormone biosynthesis', 0.7177086269766815)","('thyroid hormone metabolism I (via deiodination)', 0.6763992959725055)","('androgen biosynthesis', 0.6724985791282977)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.6624687467087329)"
"Parathyroid hormone synthesis, secretion and action","('thyroid hormone biosynthesis', 0.770302675155727)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.7049064662151524)","('thyroid hormone metabolism I (via deiodination)', 0.6985743324379069)","('superpathway of steroid hormone biosynthesis', 0.6894484611165719)","('progesterone biosynthesis', 0.6026781248251122)"
Melanogenesis,"('eumelanin biosynthesis', 0.5894839698583014)","('pheomelanin biosynthesis', 0.5894839698583014)","('hypericin biosynthesis', 0.5381136401044294)","('diazepinomicin biosynthesis', 0.5345218710896658)","('plumbagin biosynthesis', 0.5345218710896658)"
Renin secretion,"('catecholamine biosynthesis', 0.5431755385882759)","('noradrenaline and adrenaline degradation', 0.49801206787966484)","('histamine biosynthesis', 0.46214395459284036)","('serotonin and melatonin biosynthesis', 0.4446432746410126)","('thyroid hormone biosynthesis', 0.4335021492818981)"
Renin-angiotensin system,"('mineralocorticoid biosynthesis', 0.3465597329651353)","('catecholamine biosynthesis', 0.3399453276651818)","('two-component alkanesulfonate monooxygenase', 0.33726738023082886)","('serotonin and melatonin biosynthesis', 0.3326405625404053)","('thioredoxin pathway', 0.3254912704766167)"
Aldosterone synthesis and secretion,"('catecholamine biosynthesis', 0.6575259004566245)","('histamine biosynthesis', 0.6118967901861754)","('superpathway of steroid hormone biosynthesis', 0.6063758770278466)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.5974258598920587)","('estradiol biosynthesis II', 0.5894811649399595)"
Cortisol synthesis and secretion,"('superpathway of testosterone and androsterone degradation', 0.6572380437882142)","('catecholamine biosynthesis', 0.6518561219900335)","('superpathway of steroid hormone biosynthesis', 0.622904128107758)","('thyronamine and iodothyronamine metabolism', 0.611172578645113)","('estradiol biosynthesis II', 0.6028808778336026)"
Cardiac muscle contraction,"('nitroglycerin degradation', 0.2948498425329265)","('noradrenaline and adrenaline degradation', 0.2856980549455994)","('glycogen degradation I', 0.27980311512757855)","('glycogen degradation II', 0.27624371628317235)","('peptido-conjugates in tissue regeneration biosynthesis', 0.272621343513419)"
Adrenergic signaling in cardiomyocytes,"('phosphatidate metabolism, as a signaling molecule', 0.5089541029424623)","('backdoor pathway of androgen biosynthesis', 0.4597837378996178)","('cannabinoid biosynthesis', 0.4555107911205419)","('superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism', 0.4520770790250772)","('Ac/N-end rule pathway', 0.45068034160305026)"
Vascular smooth muscle contraction,"('peptido-conjugates in tissue regeneration biosynthesis', 0.31342980666707876)","('papaverine biosynthesis', 0.2686874260597729)","('nitroglycerin degradation', 0.24739153507377684)","('blood coagulation - tissue factor pathway', 0.24117747766138473)","('noradrenaline and adrenaline degradation', 0.22460381304559496)"
Salivary secretion,"('thyroid hormone biosynthesis', 0.4623064875674656)","('indican biosynthesis', 0.45900390445755174)","('felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis', 0.4501061130691453)","('catecholamine biosynthesis', 0.4187992304351956)","('histamine biosynthesis', 0.39373329212884545)"
Gastric acid secretion,"('bile acid 7&alpha;-dehydroxylation', 0.6862467730357862)","('bile acid 7&beta;-dehydroxylation', 0.6862467730357862)","('bile acids 12-O-epimerization', 0.6207043583686122)","('bile acids 3-O-epimerization', 0.6207043583686122)","('bile acid biosynthesis, neutral pathway', 0.6109757275205351)"
Pancreatic secretion,"('thyroid hormone biosynthesis', 0.4245687282976807)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.3813710989194144)","('gluconeogenesis III', 0.36290286066657496)","('thyroid hormone metabolism I (via deiodination)', 0.35193135524275776)","('catecholamine biosynthesis', 0.3369997052708347)"
Bile secretion,"('bile acid 7&alpha;-dehydroxylation', 0.6945015816865319)","('bile acid 7&beta;-dehydroxylation', 0.6945015816865319)","('bile acids 12-O-epimerization', 0.6655123925071543)","('bile acids 3-O-epimerization', 0.6655123925071543)","('bile acids deconjugation', 0.642991001387053)"
Carbohydrate digestion and absorption,"('iron reduction and absorption', 0.5673119067537548)","('phytate degradation I', 0.5359343068847409)","('fructan degradation', 0.5324054243262619)","('phytate degradation II', 0.5156608603233078)","('lactose degradation I', 0.5087010331775087)"
Protein digestion and absorption,"('iron reduction and absorption', 0.5319121095764873)","('fructan degradation', 0.4935924786064283)","('phytate degradation I', 0.4908109425355102)","('starch degradation V', 0.4855543183057846)","('phytate degradation II', 0.48161579946416944)"
Fat digestion and absorption,"('iron reduction and absorption', 0.5837077401358546)","('fructan degradation', 0.5020477146161872)","('phytate degradation I', 0.4982043700581382)","('starch degradation I', 0.4743295269250508)","('inulin degradation', 0.4725202525214629)"
Cholesterol metabolism,"('ethiin metabolism', 0.6796677430143708)","('N-glucosylnicotinate metabolism', 0.6796677430143708)","('superpathway of cholesterol biosynthesis', 0.6591299467643147)","('sphingomyelin metabolism', 0.6520038782121808)","('fructosyllysine and glucosyllysine metabolism', 0.6448304318048518)"
Vitamin digestion and absorption,"('vitamin K degradation', 0.7472064803727575)","('iron reduction and absorption', 0.6307760119517429)","('vitamin E biosynthesis (tocopherols)', 0.6132187520489024)","('vitamin E biosynthesis (tocotrienols)', 0.6132187520489024)","('vitamin K-epoxide cycle', 0.5690438226033288)"
Mineral absorption,"('iron reduction and absorption', 0.5383454754443154)","('galena oxidation', 0.3905277209427425)","('oxalate biosynthesis', 0.3730162815939731)","('oxalate degradation VI', 0.37297263116768264)","('picolinate degradation', 0.37218783994912613)"
Vasopressin-regulated water reabsorption,"('methanogenesis from tetramethylammonium', 0.558103505184861)","('isethionate degradation', 0.5387469600306826)","('oxalate degradation V', 0.4556506426202924)","('L-threonate degradation', 0.44340860862831405)","('oxalate degradation VI', 0.4372988218312293)"
Aldosterone-regulated sodium reabsorption,"('isethionate degradation', 0.6041771066947481)","('L-threonate degradation', 0.5575137302205778)","('methanogenesis from tetramethylammonium', 0.5436927251375013)","('oxalate biosynthesis', 0.5015455484544764)","('phenylmercury acetate degradation', 0.5007016330933248)"
Endocrine and other factor-regulated calcium reabsorption,"('oxalate biosynthesis', 0.4985966887601212)","('oxalate degradation VI', 0.48810011466064007)","('L-threonate degradation', 0.4786324449793235)","('oxalate degradation V', 0.45712446041495164)","('isethionate degradation', 0.4455327796536092)"
Proximal tubule bicarbonate reclamation,"('methanogenesis from tetramethylammonium', 0.4189435860938542)","('urate conversion to allantoin II', 0.40863977463566964)","('isethionate degradation', 0.4002586819498747)","('urate conversion to allantoin III', 0.38932605949485083)","('oxalate degradation VI', 0.38738893163427435)"
Collecting duct acid secretion,"('bile acid 7&alpha;-dehydroxylation', 0.7348358657503852)","('bile acid 7&beta;-dehydroxylation', 0.7348358657503852)","('bile acids 12-O-epimerization', 0.6916291532967734)","('bile acids 3-O-epimerization', 0.6916291532967734)","('bile acids deconjugation', 0.6459280073171002)"
Glutamatergic synapse,"('dopamine degradation', 0.49672717429789015)","('ibotenate and muscimol biosynthesis', 0.49319180589567835)","('kainate biosynthesis', 0.4807568897965769)","('GABA shunt II', 0.4211675026401171)","('GABA shunt I', 0.41244782282929454)"
GABAergic synapse,"('dopamine degradation', 0.4732709037206001)","('ibotenate and muscimol biosynthesis', 0.46448474923757127)","('kainate biosynthesis', 0.446545723272325)","('GABA shunt II', 0.42296720512920694)","('GABA shunt I', 0.4178833586259093)"
Cholinergic synapse,"('dopamine degradation', 0.4455298496505592)","('ibotenate and muscimol biosynthesis', 0.4100632017148442)","('kainate biosynthesis', 0.40755953415671536)","('serotonin degradation', 0.37781480555728275)","('serotonin and melatonin biosynthesis', 0.3639180139671587)"
Dopaminergic synapse,"('dopamine degradation', 0.5242626736378772)","('ibotenate and muscimol biosynthesis', 0.4462833011965768)","('kainate biosynthesis', 0.4371422964998259)","('serotonin and melatonin biosynthesis', 0.4299648021525918)","('serotonin degradation', 0.4205531330382262)"
Serotonergic synapse,"('dopamine degradation', 0.4455298496505592)","('ibotenate and muscimol biosynthesis', 0.4100632017148442)","('kainate biosynthesis', 0.40755953415671536)","('serotonin degradation', 0.37781480555728275)","('serotonin and melatonin biosynthesis', 0.3639180139671587)"
Long-term potentiation,"('ibotenate and muscimol biosynthesis', 0.3359529952612259)","('dopamine degradation', 0.3255842921425258)","('kainate biosynthesis', 0.321020764642312)","('homotaurine degradation', 0.3108185022373385)","('serotonin degradation', 0.2923365729531903)"
Long-term depression,"('3-(imidazol-5-yl)lactate salvage', 0.2211116842509839)","('bupropion degradation', 0.22031625547779132)","('valproate &beta;-oxidation', 0.21083517482927422)","('cocaine biosynthesis', 0.20360459627363908)","('GABA shunt I', 0.1966021329407949)"
Retrograde endocannabinoid signaling,"('cannabinoid biosynthesis', 0.5650613269327405)","('backdoor pathway of androgen biosynthesis', 0.5193725123113845)","('Ac/N-end rule pathway', 0.5111066295668474)","('2-arachidonoylglycerol biosynthesis', 0.5036148600626472)","('anandamide degradation', 0.47295463824526124)"
Synaptic vesicle cycle,"('3-hydroxypropanoate/4-hydroxybutanate cycle', 0.4940433907940942)","('S-methyl-L-methionine cycle', 0.4940433907940942)","('ceramide and sphingolipid recycling and degradation (yeast)', 0.4482604110116333)","('chlorophyll cycle', 0.4355376330250857)","('protective electron sinks in the thylakoid membrane (PSII to PTOX)', 0.4168882482895435)"
Neurotrophin signaling pathway,"('Ac/N-end rule pathway', 0.6752986251462565)","('phosphatidate metabolism, as a signaling molecule', 0.6422637993115323)","('backdoor pathway of androgen biosynthesis', 0.6303363644815426)","('3-phosphoinositide biosynthesis', 0.5528553187104249)","('thioredoxin pathway', 0.5447896680003286)"
