,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
ErbB signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
Ras signaling pathway,"('phytol salvage pathway', 0.6)","('thioredoxin pathway', 0.55)","('nicotinate riboside salvage pathway I', 0.52)","('Ac/N-end rule pathway', 0.48)","('NAD salvage pathway V (PNC V cycle)', 0.48)"
Rap1 signaling pathway,"('phytol salvage pathway', 0.64)","('thioredoxin pathway', 0.54)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('NAD salvage pathway I (PNC VI cycle)', 0.5)","('NAD salvage pathway II (PNC IV cycle)', 0.49)"
Wnt signaling pathway,"('phytol salvage pathway', 0.56)","('thioredoxin pathway', 0.55)","('NAD salvage pathway V (PNC V cycle)', 0.48)","('acetylaszonalenin biosynthesis', 0.47)","('Calvin-Benson-Bassham cycle', 0.46)"
Notch signaling pathway,"('nicotinate riboside salvage pathway I', 0.57)","('farnesylcysteine salvage pathway', 0.55)","('phytol salvage pathway', 0.53)","('thioredoxin pathway', 0.52)","('Ac/N-end rule pathway', 0.5)"
Hedgehog signaling pathway,"('farnesylcysteine salvage pathway', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('NAD salvage pathway I (PNC VI cycle)', 0.5)","('phytol salvage pathway', 0.5)"
Hedgehog signaling pathway - fly,"('farnesylcysteine salvage pathway', 0.58)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('phosphatidate metabolism, as a signaling molecule', 0.51)","('formaldehyde oxidation VII (THF pathway)', 0.5)"
TGF-beta signaling pathway,"('NAD salvage pathway V (PNC V cycle)', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('NAD salvage pathway I (PNC VI cycle)', 0.5)","('phytol salvage pathway', 0.5)","('beta-carboline biosynthesis', 0.49)"
Hippo signaling pathway,"('nicotinate riboside salvage pathway I', 0.53)","('phytol salvage pathway', 0.53)","('thioredoxin pathway', 0.52)","('farnesylcysteine salvage pathway', 0.51)","('lipoate salvage I', 0.5)"
Hippo signaling pathway - fly,"('farnesylcysteine salvage pathway', 0.58)","('nicotinate riboside salvage pathway I', 0.53)","('formaldehyde oxidation VII (THF pathway)', 0.52)","('NAD salvage pathway I (PNC VI cycle)', 0.52)","('NAD salvage pathway II (PNC IV cycle)', 0.52)"
Hippo signaling pathway - multiple species,"('nicotinate riboside salvage pathway I', 0.52)","('formaldehyde assimilation I (serine pathway)', 0.49)","('malate/L-aspartate shuttle pathway', 0.49)","('pentose phosphate pathway (partial)', 0.49)","('pentose phosphate pathway (non-oxidative branch) I', 0.48)"
VEGF signaling pathway,"('phytol salvage pathway', 0.59)","('thioredoxin pathway', 0.54)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('NAD salvage pathway I (PNC VI cycle)', 0.5)","('Calvin-Benson-Bassham cycle', 0.49)"
Apelin signaling pathway,"('farnesylcysteine salvage pathway', 0.64)","('Ac/N-end rule pathway', 0.58)","('phosphatidate metabolism, as a signaling molecule', 0.53)","('fatty acid salvage', 0.52)","('malate/L-aspartate shuttle pathway', 0.52)"
JAK-STAT signaling pathway,"('NAD salvage pathway V (PNC V cycle)', 0.51)","('pentose phosphate pathway', 0.51)","('pentose phosphate pathway (partial)', 0.51)","('phytol salvage pathway', 0.5)","('thioredoxin pathway', 0.49)"
NF-kappa B signaling pathway,"('Ac/N-end rule pathway', 0.53)","('NAD salvage pathway I (PNC VI cycle)', 0.52)","('NAD salvage pathway II (PNC IV cycle)', 0.51)","('farnesylcysteine salvage pathway', 0.5)","('Arg/N-end rule pathway (eukaryotic)', 0.49)"
TNF signaling pathway,"('phytol salvage pathway', 0.56)","('thioredoxin pathway', 0.55)","('tRNA splicing I', 0.5)","('tRNA splicing II', 0.49)","('NAD salvage pathway V (PNC V cycle)', 0.48)"
HIF-1 signaling pathway,"('NAD salvage pathway I (PNC VI cycle)', 0.53)","('nicotinate riboside salvage pathway I', 0.53)","('phytol salvage pathway', 0.53)","('NAD salvage pathway II (PNC IV cycle)', 0.52)","('thioredoxin pathway', 0.52)"
FoxO signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('nicotinate riboside salvage pathway I', 0.51)","('formaldehyde oxidation VII (THF pathway)', 0.5)"
Calcium signaling pathway,"('farnesylcysteine salvage pathway', 0.6)","('fatty acid salvage', 0.56)","('NAD salvage pathway V (PNC V cycle)', 0.52)","('nicotinate riboside salvage pathway I', 0.52)","('phosphatidate metabolism, as a signaling molecule', 0.52)"
Phosphatidylinositol signaling system,"('phospholipid remodeling (phosphatidylcholine, yeast)', 0.63)","('phospholipid remodeling (phosphatidylethanolamine, yeast)', 0.59)","('archaetidylinositol biosynthesis', 0.55)","(""pyridoxal 5'-phosphate salvage I"", 0.53)","('phospholipid remodeling (phosphatidate, yeast)', 0.52)"
Phospholipase D signaling pathway,"('phytol salvage pathway', 0.62)","('phospholipases', 0.6)","('phosphatidate metabolism, as a signaling molecule', 0.59)","('Entner-Doudoroff pathway III (semi-phosphorylative)', 0.56)","('pentose phosphate pathway', 0.55)"
Sphingolipid signaling pathway,"('sphingolipid biosynthesis (mammals)', 0.6)","('sphingolipid biosynthesis (plants)', 0.58)","('sphingolipid biosynthesis (yeast)', 0.56)","('gala-series glycosphingolipids biosynthesis', 0.55)","('ganglio-series glycosphingolipids biosynthesis', 0.55)"
cAMP signaling pathway,"('NAD salvage pathway V (PNC V cycle)', 0.55)","('phytol salvage pathway', 0.55)","('NAD salvage pathway I (PNC VI cycle)', 0.54)","('nicotinate riboside salvage pathway I', 0.54)","('thioredoxin pathway', 0.54)"
cGMP-PKG signaling pathway,"('phytol salvage pathway', 0.58)","('NAD salvage pathway V (PNC V cycle)', 0.54)","('NAD salvage pathway I (PNC VI cycle)', 0.53)","('NAD salvage pathway II (PNC IV cycle)', 0.52)","('thioredoxin pathway', 0.49)"
PI3K-Akt signaling pathway,"('phytol salvage pathway', 0.58)","('NAD salvage pathway V (PNC V cycle)', 0.54)","('nicotinate riboside salvage pathway I', 0.54)","('NAD salvage pathway I (PNC VI cycle)', 0.53)","('farnesylcysteine salvage pathway', 0.52)"
AMPK signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
mTOR signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('nicotinate riboside salvage pathway I', 0.51)","('phosphatidate metabolism, as a signaling molecule', 0.51)"
Plant hormone signal transduction,"('iron reduction and absorption', 0.61)","('folate transformations II (plants)', 0.58)","('rutin degradation (plants)', 0.53)","('chlorobenzene degradation', 0.52)","('chlorzoxazone degradation', 0.52)"
Neuroactive ligand-receptor interaction,"('reactive oxygen species degradation', 0.59)","('uracil degradation I (reductive)', 0.55)","('pyruvate fermentation to propanoate I', 0.53)","('galactitol degradation', 0.52)","('mandelate degradation I', 0.52)"
Cytokine-cytokine receptor interaction,"('homocysteine and cysteine interconversion', 0.58)","('glutathione-peroxide redox reactions', 0.54)","('pyruvate fermentation to acetoin', 0.54)","('pyruvate fermentation to acetone', 0.54)","('cytokinins degradation', 0.53)"
Viral protein interaction with cytokine and cytokine receptor,"('homocysteine and cysteine interconversion', 0.53)","('pyruvate fermentation to acetate VII', 0.52)","('pyruvate fermentation to acetate VIII', 0.51)","('protein <i>S</i>-nitrosylation and denitrosylation', 0.5)","('pyruvate fermentation to acetate VI', 0.5)"
ECM-receptor interaction,"('arsenate reduction (respiratory)', 0.63)","('ectoine degradation', 0.56)","('fructose degradation', 0.55)","('resveratrol degradation', 0.55)","('tricetin methylation', 0.55)"
Cell adhesion molecules,"('cellulose biosynthesis', 0.53)","('L-leucine degradation I', 0.52)","('L-leucine degradation II', 0.51)","('L-leucine degradation III', 0.5)","('colupulone and cohumulone biosynthesis', 0.49)"
Endocytosis,"('ketolysis', 0.6)","('acetan biosynthesis', 0.53)","('aloenin biosynthesis', 0.52)","('acacetin biosynthesis', 0.5)","('androgen biosynthesis', 0.5)"
Phagosome,"('phospholipases', 0.52)","('&alpha;-tomatine degradation', 0.46)","('&alpha;-tomatine biosynthesis', 0.44)","('&alpha;-carotene biosynthesis', 0.39)","('ribose phosphorylation', 0.39)"
Lysosome,"('ketolysis', 0.47)","('solasodine glycosylation', 0.44)","('bacilysin biosynthesis', 0.4)","('glycolysis IV', 0.38)","('sphingomyelin metabolism', 0.38)"
Peroxisome,"('isoprene degradation', 0.47)","('histamine degradation', 0.45)","('isopropylamine degradation', 0.44)","('methiin metabolism', 0.43)","('isethionate degradation', 0.42)"
Autophagy - animal,"('ethylmalonyl-CoA pathway', 0.5)","('mevalonate pathway IV (archaea)', 0.49)","('L-tryptophan degradation IX', 0.47)","('adenine salvage', 0.45)","('pentose phosphate pathway (partial)', 0.45)"
Autophagy - yeast,"('tRNA methylation (yeast)', 0.54)","('yeast mannan degradation', 0.51)","('arsenic detoxification (yeast)', 0.47)","('phosphatidate biosynthesis (yeast)', 0.47)","('monoacylglycerol metabolism (yeast)', 0.46)"
Autophagy - other,"('thioredoxin pathway', 0.53)","('diphenyl ethers degradation', 0.52)","('&alpha;-amyrin biosynthesis', 0.5)","('phosphate acquisition', 0.5)","('NADPH repair (prokaryotes)', 0.46)"
Mitophagy - animal,"('TCA cycle III (animals)', 0.54)","('L-tryptophan degradation IX', 0.47)","('stearate biosynthesis I (animals)', 0.47)","('thiamine triphosphate metabolism', 0.46)","('adenine salvage', 0.45)"
Mitophagy - yeast,"('tRNA methylation (yeast)', 0.54)","('phosphatidate biosynthesis (yeast)', 0.51)","('monoacylglycerol metabolism (yeast)', 0.5)","('sphingolipid biosynthesis (yeast)', 0.48)","('arsenic detoxification (yeast)', 0.47)"
Cell cycle,"('chlorophyll cycle', 0.67)","('urea cycle', 0.5)","('VTC2 cycle', 0.5)","('tetracycline resistance', 0.48)","('TCA cycle VIII (Chlamydia)', 0.47)"
Cell cycle - yeast,"('urea cycle', 0.62)","('chlorophyll cycle', 0.55)","('methylaspartate cycle', 0.54)","('VTC2 cycle', 0.54)","('mannitol cycle', 0.53)"
Cell cycle - Caulobacter,"('chlorophyll cycle', 0.62)","('ascorbate recycling (cytosolic)', 0.51)","('TCA cycle VI (Helicobacter)', 0.51)","('ascorbate glutathione cycle', 0.49)","('bacterial bioluminescence', 0.47)"
Meiosis - yeast,"('tRNA methylation (yeast)', 0.57)","('cyathin biosynthesis', 0.55)","('creatine biosynthesis', 0.53)","('nystatin biosynthesis', 0.53)","('methiin metabolism', 0.52)"
Oocyte meiosis,"('L-homocysteine biosynthesis', 0.59)","('chlorobactene biosynthesis', 0.55)","('oleanolate biosynthesis', 0.54)","('9-decynoate biosynthesis', 0.53)","('calystegine biosynthesis', 0.53)"
Apoptosis,"('ATP biosynthesis', 0.56)","('ketolysis', 0.56)","('ketogenesis', 0.5)","('adipate biosynthesis', 0.48)","('alazopeptin biosynthesis', 0.48)"
Apoptosis - fly,"('apicidin F biosynthesis', 0.5)","('L-aspartate biosynthesis', 0.49)","('polymyxin A biosynthesis', 0.49)","('ATP biosynthesis', 0.48)","('(-)-glycinol biosynthesis', 0.47)"
Apoptosis - multiple species,"('&alpha;-linolenate metabolites biosynthesis', 0.51)","('putrescine biosynthesis I', 0.51)","('spermidine biosynthesis I', 0.51)","('ferulate and sinapate biosynthesis', 0.5)","('L-leucine biosynthesis', 0.5)"
Ferroptosis,"('ketolysis', 0.6)","('ketogenesis', 0.55)","('acinetoferrin biosynthesis', 0.49)","('asterrate biosynthesis', 0.48)","('berberine biosynthesis', 0.48)"
Necroptosis,"('ketolysis', 0.6)","('crotonosine biosynthesis', 0.51)","('coptisine biosynthesis', 0.48)","('aerobactin biosynthesis', 0.47)","('aurone biosynthesis', 0.47)"
p53 signaling pathway,"('phytol salvage pathway', 0.56)","('thioredoxin pathway', 0.55)","('farnesylcysteine salvage pathway', 0.49)","('Ac/N-end rule pathway', 0.48)","('NAD salvage pathway V (PNC V cycle)', 0.48)"
Cellular senescence,"('bacterial bioluminescence', 0.59)","('coral bioluminescence', 0.5)","('squid bioluminescence', 0.5)","('fungal bioluminescence', 0.49)","('firefly bioluminescence', 0.48)"
Focal adhesion,"('fructan degradation', 0.55)","('orcinol degradation', 0.55)","('4-sulfocatechol degradation', 0.54)","('furcatin degradation', 0.53)","('furfural degradation', 0.53)"
Adherens junction,"('hydrogen production I', 0.58)","('hydrogen production V', 0.58)","('chlorate reduction', 0.57)","('hydrogen production II', 0.56)","('hydrogen production IV', 0.56)"
Tight junction,"('protein citrullination', 0.5)","('selenate reduction', 0.5)","('protein NEDDylation', 0.48)","('tricetin methylation', 0.47)","('nitrifier denitrification', 0.46)"
Gap junction,"('chlorate reduction', 0.53)","('GABA shunt I', 0.5)","('galena oxidation', 0.5)","('GABA shunt II', 0.48)","('hydrogen production I', 0.48)"
Signaling pathways regulating pluripotency of stem cells,"('N-end rule pathway I (prokaryotic)', 0.48)","('N-end rule pathway II (prokaryotic)', 0.47)","('NAD salvage pathway V (PNC V cycle)', 0.47)","('NAD salvage pathway II (PNC IV cycle)', 0.46)","('acyl-[acyl-carrier protein] thioesterase pathway', 0.45)"
Quorum sensing,"('fungal bioluminescence', 0.44)","('aurofusarin biosynthesis', 0.42)","('aurone biosynthesis', 0.42)","('baruol biosynthesis', 0.42)","('indigo biosynthesis', 0.42)"
Biofilm formation - Vibrio cholerae,"('chitin degradation II (Vibrio)', 0.56)","('lipid A modification (glycine addition, <i>Vibrio cholerae</i>)', 0.56)","('choline degradation II', 0.55)","('choline degradation III', 0.54)","('coumarin biosynthesis (via 2-coumarate)', 0.54)"
Biofilm formation - Pseudomonas aeruginos,"('phenol degradation I (aerobic)', 0.51)","('amygdalin and prunasin degradation', 0.49)","('phenol degradation II (anaerobic)', 0.49)","('phenylacetate degradation I (aerobic)', 0.49)","('sulfur oxidation I (aerobic)', 0.49)"
Biofilm formation - Escherichia coli,"('colanic acid (<i>Escherichia coli</i> K12) biosynthesis', 0.57)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.56)","('<i>Escherichia coli</i> serotype O:7 O antigen biosynthesis', 0.56)","('<i>Escherichia coli</i> serotype O:8 O antigen biosynthesis', 0.56)","('<i>Escherichia coli</i> serotype O:9 O antigen biosynthesis', 0.56)"
Bacterial chemotaxis,"('baicalein metabolism', 0.55)","('L-dopa degradation II (bacterial)', 0.55)","('bacterial bioluminescence', 0.53)","('dermatan sulfate degradation I (bacterial)', 0.53)","('alginate biosynthesis II (bacterial)', 0.52)"
Flagellar assembly,"('dinoflagellate bioluminescence', 0.46)","('glyoxylate assimilation', 0.44)","('assimilatory sulfate reduction I', 0.4)","('farnesylcysteine salvage pathway', 0.4)","('labdenediol and sclareol biosynthesis', 0.4)"
Motor proteins,"('protectin biosynthesis', 0.56)","('mycothiol oxidation', 0.55)","('protein NEDDylation', 0.55)","('protein <I>O</i>-mannosylation I (yeast)', 0.53)","('photorespiration I', 0.5)"
Regulation of actin cytoskeleton,"('chitin deacetylation', 0.54)","('chlorogenic acid degradation', 0.53)","('D-arabinose degradation I', 0.53)","('D-arabinose degradation V', 0.53)","('aerobic respiration I (cytochrome c)', 0.52)"
Hematopoietic cell lineage,"('L-methionine salvage cycle III', 0.5)","('L-dopa degradation II (bacterial)', 0.46)","('naringenin <i>C</i>-glucosylation', 0.46)","('picolinate degradation', 0.46)","('fatty acid salvage', 0.45)"
Complement and coagulation cascades,"('colupulone and cohumulone biosynthesis', 0.55)","('naphthalene degradation to acetyl-CoA', 0.53)","('UTP and CTP dephosphorylation I', 0.52)","('ammonia assimilation cycle I', 0.51)","('protein Pupylation and dePupylation', 0.51)"
Platelet activation,"('citrate lyase activation', 0.74)","('glucosinolate activation', 0.7)","('linustatin bioactivation', 0.65)","('sulfate activation for sulfonation', 0.64)","('taxiphyllin bioactivation', 0.64)"
Neutrophil extracellular trap formation,"('sulfur oxidation IV (intracellular sulfur)', 0.58)","('formate to nitrite electron transfer', 0.51)","('2-nitrophenol degradation', 0.5)","('nitrilotriacetate degradation', 0.5)","('5-nitroanthranilate degradation', 0.49)"
Toll-like receptor signaling pathway,"('NAD salvage pathway V (PNC V cycle)', 0.52)","('NAD salvage pathway III (to nicotinamide riboside)', 0.5)","('NAD salvage pathway I (PNC VI cycle)', 0.49)","('nicotinate riboside salvage pathway I', 0.49)","('pentose phosphate pathway', 0.49)"
Toll and Imd signaling pathway,"('NAD salvage pathway III (to nicotinamide riboside)', 0.59)","('Ac/N-end rule pathway', 0.55)","('farnesylcysteine salvage pathway', 0.52)","('NAD salvage pathway IV (from nicotinamide riboside)', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
NOD-like receptor signaling pathway,"('NAD salvage pathway V (PNC V cycle)', 0.59)","('NAD salvage pathway I (PNC VI cycle)', 0.58)","('NAD salvage pathway II (PNC IV cycle)', 0.57)","('nicotinate riboside salvage pathway I', 0.56)","('phytol salvage pathway', 0.56)"
RIG-I-like receptor signaling pathway,"('nicotinate riboside salvage pathway I', 0.54)","('phytol salvage pathway', 0.54)","('NAD salvage pathway II (PNC IV cycle)', 0.5)","('pentose phosphate pathway (partial)', 0.49)","('NAD salvage pathway I (PNC VI cycle)', 0.48)"
Cytosolic DNA-sensing pathway,"('NAD salvage pathway I (PNC VI cycle)', 0.6)","('trehalose degradation II (cytosolic)', 0.57)","('Ac/N-end rule pathway', 0.56)","('NAD salvage pathway II (PNC IV cycle)', 0.56)","('NAD salvage pathway V (PNC V cycle)', 0.55)"
C-type lectin receptor signaling pathway,"('NAD salvage pathway II (PNC IV cycle)', 0.56)","('NAD salvage pathway V (PNC V cycle)', 0.55)","('nicotinate riboside salvage pathway I', 0.55)","('phytol salvage pathway', 0.55)","('NAD salvage pathway I (PNC VI cycle)', 0.54)"
Natural killer cell mediated cytotoxicity,"('mycothiol-mediated detoxification', 0.51)","('glutathione-mediated detoxification I', 0.49)","('glutathione-mediated detoxification II', 0.48)","('naphthalene degradation to acetyl-CoA', 0.46)","('acetyl-CoA biosynthesis from citrate', 0.44)"
Antigen processing and presentation,"('procollagen hydroxylation and glycosylation', 0.56)","('protein <i>S</i>-nitrosylation and denitrosylation', 0.56)","('L-lysine fermentation to acetate and butanoate', 0.54)","('pyruvate fermentation to acetoin', 0.54)","('acylceramide biosynthesis and processing', 0.53)"
T cell receptor signaling pathway,"('phytol salvage pathway', 0.58)","('NAD salvage pathway V (PNC V cycle)', 0.55)","('pentose phosphate pathway', 0.52)","('pentose phosphate pathway (partial)', 0.52)","('NAD salvage pathway I (PNC VI cycle)', 0.51)"
Th1 and Th2 cell differentiation,"('pyruvate fermentation to acetoin', 0.59)","('pyruvate fermentation to acetone', 0.59)","('pyruvate fermentation to acetate I', 0.58)","('pyruvate fermentation to acetate V', 0.58)","('pyruvate fermentation to butanol I', 0.58)"
Th17 cell differentiation,"('mixed acid fermentation', 0.58)","('acetyl-CoA fermentation to butanoate', 0.56)","('pyruvate fermentation to acetoin', 0.56)","('pyruvate fermentation to acetone', 0.56)","('citronellol degradation', 0.54)"
IL-17 signaling pathway,"('NAD salvage pathway I (PNC VI cycle)', 0.53)","('nicotinate riboside salvage pathway I', 0.53)","('phytol salvage pathway', 0.53)","('NAD salvage pathway II (PNC IV cycle)', 0.52)","('thioredoxin pathway', 0.52)"
B cell receptor signaling pathway,"('phytol salvage pathway', 0.58)","('nicotinate riboside salvage pathway I', 0.54)","('thioredoxin pathway', 0.5)","('phosphatidate metabolism, as a signaling molecule', 0.49)","('superpathway of L-threonine biosynthesis', 0.49)"
Fc epsilon RI signaling pathway,"('superpathway of taurine degradation', 0.55)","('superpathway of trimethylamine degradation', 0.55)","('Ac/N-end rule pathway', 0.54)","('farnesylcysteine salvage pathway', 0.54)","('nicotine degradation I (pyridine pathway)', 0.54)"
Fc gamma R-mediated phagocytosis,"('&gamma;-linolenate biosynthesis I (plants)', 0.46)","('mycothiol-mediated detoxification', 0.46)","('poly-&gamma;-D-glutamate biosynthesis', 0.45)","('phytol degradation', 0.44)","('alginate biosynthesis I (algal)', 0.43)"
Leukocyte transendothelial migration,"('ethanol degradation I', 0.53)","('ethanol degradation II', 0.52)","('ethanol degradation IV', 0.52)","('ginsenoside degradation I', 0.52)","('ginsenoside degradation II', 0.52)"
Intestinal immune network for IgA production,"('protein <I>O</i>-mannosylation I (yeast)', 0.51)","('hydrogen production III', 0.48)","('2-aminophenol degradation', 0.46)","('4-aminophenol degradation', 0.46)","('L-proline biosynthesis II (from arginine)', 0.46)"
Chemokine signaling pathway,"('farnesylcysteine salvage pathway', 0.61)","('nicotinate riboside salvage pathway I', 0.59)","('NAD salvage pathway I (PNC VI cycle)', 0.56)","('NAD salvage pathway II (PNC IV cycle)', 0.55)","('Ac/N-end rule pathway', 0.54)"
Insulin secretion,"('aniline degradation', 0.61)","('chitin deacetylation', 0.59)","('L-citrulline degradation', 0.59)","('creatine biosynthesis', 0.58)","('crocetin biosynthesis', 0.58)"
Insulin signaling pathway,"('farnesylcysteine salvage pathway', 0.53)","('Ac/N-end rule pathway', 0.52)","('lipoate salvage I', 0.52)","('nicotinate riboside salvage pathway I', 0.52)","('phosphatidate metabolism, as a signaling molecule', 0.52)"
Glucagon signaling pathway,"('farnesylcysteine salvage pathway', 0.55)","('naringenin <i>C</i>-glucosylation', 0.54)","('superpathway of taurine degradation', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
Regulation of lipolysis in adipocytes,"('ferulate and sinapate biosynthesis', 0.54)","('polyisoprenoid biosynthesis (<i>E. coli</i>)', 0.53)","('anandamide lipoxygenation', 0.52)","('<i>Brucella abortus</i> O antigen biosynthesis', 0.52)","('creatine biosynthesis', 0.52)"
Adipocytokine signaling pathway,"('farnesylcysteine salvage pathway', 0.63)","('nicotine degradation I (pyridine pathway)', 0.6)","('nicotinate riboside salvage pathway I', 0.59)","('nicotine degradation II (pyrrolidine pathway)', 0.57)","('NAD salvage pathway III (to nicotinamide riboside)', 0.56)"
PPAR signaling pathway,"('phytol salvage pathway', 0.64)","('thioredoxin pathway', 0.54)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('NAD salvage pathway I (PNC VI cycle)', 0.5)","('NAD salvage pathway II (PNC IV cycle)', 0.49)"
GnRH secretion,"('agarose degradation', 0.55)","('chitin deacetylation', 0.53)","('creatine biosynthesis', 0.51)","('crocetin biosynthesis', 0.51)","('perchlorate reduction', 0.51)"
GnRH signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
Ovarian steroidogenesis,"('gluconeogenesis I', 0.55)","('ketogenesis', 0.53)","('avenanthramide biosynthesis', 0.52)","('gluconeogenesis III', 0.52)","('adipate biosynthesis', 0.51)"
Estrogen signaling pathway,"('farnesylcysteine salvage pathway', 0.62)","('superpathway of taurine degradation', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)","('phosphatidate metabolism, as a signaling molecule', 0.51)"
Progesterone-mediated oocyte maturation,"('progesterone biosynthesis', 0.56)","('acyl carrier protein activation', 0.54)","('2-methylpropene degradation', 0.52)","('pyruvate fermentation to (<i>R</i>)-lactate', 0.52)","('propanoate fermentation to 2-methylbutanoate', 0.51)"
Prolactin signaling pathway,"('phytol salvage pathway', 0.65)","('N-end rule pathway I (prokaryotic)', 0.54)","('N-end rule pathway II (prokaryotic)', 0.53)","('thioredoxin pathway', 0.52)","('hydrogen production VIII', 0.51)"
Oxytocin signaling pathway,"('farnesylcysteine salvage pathway', 0.59)","('NAD salvage pathway I (PNC VI cycle)', 0.57)","('nicotinate riboside salvage pathway I', 0.57)","('NAD salvage pathway II (PNC IV cycle)', 0.56)","('NAD salvage pathway V (PNC V cycle)', 0.54)"
Relaxin signaling pathway,"('phytol salvage pathway', 0.6)","('thioredoxin pathway', 0.59)","('L-aspartate degradation I', 0.48)","('NAD salvage pathway V (PNC V cycle)', 0.48)","('nicotinate riboside salvage pathway I', 0.48)"
"Growth hormone synthesis, secretion and action","('allopregnanolone biosynthesis', 0.57)","('acacetin biosynthesis', 0.55)","('anandamide biosynthesis I', 0.54)","('anandamide biosynthesis II', 0.54)","('arabidopyrone biosynthesis', 0.54)"
Thyroid hormone synthesis,"('lathyrine biosynthesis', 0.68)","('thyroid hormone biosynthesis', 0.68)","('bergamotene biosynthesis I', 0.67)","('tylosin biosynthesis', 0.67)","('bergamotene biosynthesis II', 0.65)"
Thyroid hormone signaling pathway,"('mevalonate pathway III (Thermoplasma)', 0.5)","('farnesylcysteine salvage pathway', 0.49)","('NAD salvage pathway III (to nicotinamide riboside)', 0.49)","('nicotinate riboside salvage pathway I', 0.49)","('thyroid hormone biosynthesis', 0.49)"
"Parathyroid hormone synthesis, secretion and action","('acridone alkaloid biosynthesis', 0.62)","('apratoxin A biosynthesis', 0.57)","('amaranthin biosynthesis', 0.55)","('aurachin A, B, C and D biosynthesis', 0.55)","('bacteriochlorophyll <i>a</i> biosynthesis', 0.55)"
Melanogenesis,"('ketogenesis', 0.75)","('gluconeogenesis I', 0.6)","('methanogenesis from acetate', 0.6)","('androgen biosynthesis', 0.59)","('methanogenesis from methanol', 0.59)"
Renin secretion,"('creatinine degradation I', 0.62)","('betanidin degradation', 0.61)","('creatinine degradation II', 0.6)","('acetoin degradation', 0.59)","('aniline degradation', 0.59)"
Renin-angiotensin system,"('quercetin sulfate biosynthesis', 0.56)","('L-threonine biosynthesis', 0.54)","('retinoate biosynthesis I', 0.54)","('creatine biosynthesis', 0.53)","('retinoate biosynthesis II', 0.53)"
Aldosterone synthesis and secretion,"('aloesone and aloesin biosynthesis', 0.71)","('aerobactin biosynthesis', 0.66)","('asterrate biosynthesis', 0.63)","('aurone biosynthesis', 0.63)","('acridone alkaloid biosynthesis', 0.62)"
Cortisol synthesis and secretion,"('acacetin biosynthesis', 0.64)","('atranorin biosynthesis', 0.63)","('bacillithiol biosynthesis', 0.63)","('baruol biosynthesis', 0.63)","('anguibactin biosynthesis', 0.61)"
Cardiac muscle contraction,"('chondroitin sulfate degradation I (bacterial)', 0.55)","('sulfur oxidation I (aerobic)', 0.54)","('mixed acid fermentation', 0.53)","('D-malate degradation', 0.52)","('glucosinolate activation', 0.52)"
Adrenergic signaling in cardiomyocytes,"('arctigenin and isoarctigenin biosynthesis', 0.53)","('plasmalogen biosynthesis I (aerobic)', 0.53)","('plasmalogen biosynthesis II (anaerobic)', 0.53)","('NAD <i>de novo</i> biosynthesis IV (anaerobic)', 0.51)","('oleate biosynthesis IV (anaerobic)', 0.49)"
Vascular smooth muscle contraction,"('jasmonoyl-L-isoleucine inactivation', 0.52)","('methanesulfonate degradation', 0.52)","('chondroitin sulfate degradation (metazoa)', 0.49)","('ethanedisulfonate degradation', 0.48)","('methylsalicylate degradation', 0.48)"
Salivary secretion,"('carbaryl degradation', 0.58)","('agarose degradation', 0.54)","('aspartame degradation', 0.51)","('acrylate degradation I', 0.5)","('acrylate degradation II', 0.49)"
Gastric acid secretion,"('cyanuric acid degradation I', 0.65)","('cyanuric acid degradation II', 0.64)","('chlorogenic acid degradation', 0.6)","('agarose degradation', 0.54)","('citrate degradation', 0.54)"
